[DEBUG] 2018-10-02 23:40:49.518 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7d322cad
[DEBUG] 2018-10-02 23:40:49.520 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@448c8166
[DEBUG] 2018-10-02 23:40:49.520 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@448c8166
[DEBUG] 2018-10-02 23:40:49.522 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@13526e59
[DEBUG] 2018-10-02 23:40:49.523 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@13526e59
[DEBUG] 2018-10-02 23:40:49.547 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@6cc4cdb9
[DEBUG] 2018-10-02 23:40:49.547 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6cc4cdb9
[DEBUG] 2018-10-02 23:40:49.550 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@32115b28
[DEBUG] 2018-10-02 23:40:49.550 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@32115b28
[DEBUG] 2018-10-02 23:40:49.553 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@3214ee6
[DEBUG] 2018-10-02 23:40:49.554 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@3214ee6
[DEBUG] 2018-10-02 23:40:49.556 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@68746f22
[DEBUG] 2018-10-02 23:40:49.557 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@68746f22
[DEBUG] 2018-10-02 23:40:49.559 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2eea88a1
[DEBUG] 2018-10-02 23:40:49.560 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2eea88a1
[DEBUG] 2018-10-02 23:40:49.562 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@16612a51
[DEBUG] 2018-10-02 23:40:49.562 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@16612a51
[DEBUG] 2018-10-02 23:40:49.568 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7d61eb55
[DEBUG] 2018-10-02 23:40:49.569 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7d61eb55
[DEBUG] 2018-10-02 23:40:49.572 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@638ef7ed
[DEBUG] 2018-10-02 23:40:49.572 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@638ef7ed
[DEBUG] 2018-10-02 23:40:49.574 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@776a6d9b
[DEBUG] 2018-10-02 23:40:49.574 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@776a6d9b
[DEBUG] 2018-10-02 23:40:49.577 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@1cf56a1c
[DEBUG] 2018-10-02 23:40:49.577 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@1cf56a1c
[DEBUG] 2018-10-02 23:40:49.577 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@1cf56a1c
[DEBUG] 2018-10-02 23:40:49.580 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@264f218
[DEBUG] 2018-10-02 23:40:49.582 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@81d9a72
[DEBUG] 2018-10-02 23:40:49.582 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@81d9a72
[DEBUG] 2018-10-02 23:40:49.582 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@81d9a72
[DEBUG] 2018-10-02 23:40:49.584 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@2ca26d77
[DEBUG] 2018-10-02 23:40:49.586 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@1ebea008
[DEBUG] 2018-10-02 23:40:49.586 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1ebea008
[DEBUG] 2018-10-02 23:40:49.588 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@51bf5add
[DEBUG] 2018-10-02 23:40:49.588 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@51bf5add
[DEBUG] 2018-10-02 23:40:49.590 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@478db956
[DEBUG] 2018-10-02 23:40:49.590 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@478db956
[DEBUG] 2018-10-02 23:40:49.592 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@1b410b60
[DEBUG] 2018-10-02 23:40:49.593 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@1b410b60
[DEBUG] 2018-10-02 23:40:49.596 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@6b0d80ed
[DEBUG] 2018-10-02 23:40:49.596 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@6b0d80ed
[DEBUG] 2018-10-02 23:40:49.597 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@928763c
[DEBUG] 2018-10-02 23:40:49.600 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@2f666ebb
[DEBUG] 2018-10-02 23:40:49.600 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@2f666ebb
