[DEBUG] 2018-10-02 23:41:41.238 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@13526e59
[DEBUG] 2018-10-02 23:41:41.241 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@36804139
[DEBUG] 2018-10-02 23:41:41.241 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@36804139
[DEBUG] 2018-10-02 23:41:41.243 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@5c86dbc5
[DEBUG] 2018-10-02 23:41:41.243 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@5c86dbc5
[DEBUG] 2018-10-02 23:41:41.265 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@4b8729ff
[DEBUG] 2018-10-02 23:41:41.265 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@4b8729ff
[DEBUG] 2018-10-02 23:41:41.268 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@74287ea3
[DEBUG] 2018-10-02 23:41:41.269 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@74287ea3
[DEBUG] 2018-10-02 23:41:41.272 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@41488b16
[DEBUG] 2018-10-02 23:41:41.272 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@41488b16
[DEBUG] 2018-10-02 23:41:41.276 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@16612a51
[DEBUG] 2018-10-02 23:41:41.277 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@16612a51
[DEBUG] 2018-10-02 23:41:41.280 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4e0ae11f
[DEBUG] 2018-10-02 23:41:41.281 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4e0ae11f
[DEBUG] 2018-10-02 23:41:41.284 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@9cb8225
[DEBUG] 2018-10-02 23:41:41.284 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@9cb8225
[DEBUG] 2018-10-02 23:41:41.385 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@536dbea0
[DEBUG] 2018-10-02 23:41:41.387 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@536dbea0
[DEBUG] 2018-10-02 23:41:41.391 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@1cf56a1c
[DEBUG] 2018-10-02 23:41:41.391 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@1cf56a1c
[DEBUG] 2018-10-02 23:41:41.393 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@35b74c5c
[DEBUG] 2018-10-02 23:41:41.394 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@35b74c5c
