[DEBUG] 2018-10-02 23:40:26.847 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2018-10-02 23:40:26.861 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2018-10-02 23:40:26.868 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2018-10-02 23:40:27.036 [main] Version - HHH000412: Hibernate Core {5.2.12.Final}
[INFO ] 2018-10-02 23:40:27.038 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2018-10-02 23:40:27.112 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2018-10-02 23:40:27.115 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2018-10-02 23:40:27.130 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2018-10-02 23:40:27.523 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2018-10-02 23:40:27.565 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2018-10-02 23:40:27.581 [main] Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[DEBUG] 2018-10-02 23:40:27.620 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4f0f2942
[DEBUG] 2018-10-02 23:40:27.620 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4f0f2942
[DEBUG] 2018-10-02 23:40:27.620 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4f0f2942
[DEBUG] 2018-10-02 23:40:27.622 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@69504ae9
[DEBUG] 2018-10-02 23:40:27.625 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@475c9c31
[DEBUG] 2018-10-02 23:40:27.626 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5276d6ee
[DEBUG] 2018-10-02 23:40:27.629 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7dfd3c81
[DEBUG] 2018-10-02 23:40:27.629 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7dfd3c81
[DEBUG] 2018-10-02 23:40:27.629 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7dfd3c81
[DEBUG] 2018-10-02 23:40:27.632 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7dfb0c0f
[DEBUG] 2018-10-02 23:40:27.632 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@7dfb0c0f
[DEBUG] 2018-10-02 23:40:27.633 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7dfb0c0f
[DEBUG] 2018-10-02 23:40:27.637 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2d0399f4
[DEBUG] 2018-10-02 23:40:27.638 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2d0399f4
[DEBUG] 2018-10-02 23:40:27.638 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2d0399f4
[DEBUG] 2018-10-02 23:40:27.640 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@2254127a
[DEBUG] 2018-10-02 23:40:27.640 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@2254127a
[DEBUG] 2018-10-02 23:40:27.640 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@2254127a
[DEBUG] 2018-10-02 23:40:27.644 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5a7fe64f
[DEBUG] 2018-10-02 23:40:27.644 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5a7fe64f
[DEBUG] 2018-10-02 23:40:27.644 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5a7fe64f
[DEBUG] 2018-10-02 23:40:27.647 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@37313c65
[DEBUG] 2018-10-02 23:40:27.647 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@37313c65
[DEBUG] 2018-10-02 23:40:27.647 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@37313c65
[DEBUG] 2018-10-02 23:40:27.650 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5d908d47
[DEBUG] 2018-10-02 23:40:27.650 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5d908d47
[DEBUG] 2018-10-02 23:40:27.650 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@5d908d47
[DEBUG] 2018-10-02 23:40:27.653 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@6f36c2f0
[DEBUG] 2018-10-02 23:40:27.653 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@6f36c2f0
[DEBUG] 2018-10-02 23:40:27.663 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@3b35a229
[DEBUG] 2018-10-02 23:40:27.664 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@3b35a229
[DEBUG] 2018-10-02 23:40:27.667 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@7dc3712
[DEBUG] 2018-10-02 23:40:27.667 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@7dc3712
[DEBUG] 2018-10-02 23:40:27.669 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5be1d0a4
[DEBUG] 2018-10-02 23:40:27.671 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7d322cad
[DEBUG] 2018-10-02 23:40:27.672 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@448c8166
[DEBUG] 2018-10-02 23:40:27.673 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@448c8166
[DEBUG] 2018-10-02 23:40:27.675 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@13526e59
[DEBUG] 2018-10-02 23:40:27.675 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@13526e59
[DEBUG] 2018-10-02 23:40:27.705 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@6cc4cdb9
[DEBUG] 2018-10-02 23:40:27.705 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6cc4cdb9
[DEBUG] 2018-10-02 23:40:27.709 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@32115b28
[DEBUG] 2018-10-02 23:40:27.709 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@32115b28
[DEBUG] 2018-10-02 23:40:27.712 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@3214ee6
[DEBUG] 2018-10-02 23:40:27.712 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@3214ee6
[DEBUG] 2018-10-02 23:40:27.715 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@68746f22
[DEBUG] 2018-10-02 23:40:27.717 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@68746f22
[DEBUG] 2018-10-02 23:40:27.720 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2eea88a1
[DEBUG] 2018-10-02 23:40:27.721 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2eea88a1
[DEBUG] 2018-10-02 23:40:27.723 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@16612a51
[DEBUG] 2018-10-02 23:40:27.724 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@16612a51
[DEBUG] 2018-10-02 23:40:27.736 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7d61eb55
[DEBUG] 2018-10-02 23:40:27.737 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7d61eb55
[DEBUG] 2018-10-02 23:40:27.741 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@638ef7ed
[DEBUG] 2018-10-02 23:40:27.741 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@638ef7ed
[DEBUG] 2018-10-02 23:40:27.743 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@776a6d9b
[DEBUG] 2018-10-02 23:40:27.744 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@776a6d9b
[DEBUG] 2018-10-02 23:40:27.746 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@1cf56a1c
[DEBUG] 2018-10-02 23:40:27.747 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@1cf56a1c
[DEBUG] 2018-10-02 23:40:27.747 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@1cf56a1c
[DEBUG] 2018-10-02 23:40:27.750 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@264f218
[DEBUG] 2018-10-02 23:40:27.752 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@81d9a72
[DEBUG] 2018-10-02 23:40:27.752 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@81d9a72
[DEBUG] 2018-10-02 23:40:27.753 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@81d9a72
[DEBUG] 2018-10-02 23:40:27.754 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@2ca26d77
[DEBUG] 2018-10-02 23:40:27.757 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@1ebea008
[DEBUG] 2018-10-02 23:40:27.758 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1ebea008
[DEBUG] 2018-10-02 23:40:27.759 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@51bf5add
[DEBUG] 2018-10-02 23:40:27.760 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@51bf5add
[DEBUG] 2018-10-02 23:40:27.762 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@478db956
[DEBUG] 2018-10-02 23:40:27.763 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@478db956
[DEBUG] 2018-10-02 23:40:27.764 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@1b410b60
[DEBUG] 2018-10-02 23:40:27.765 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@1b410b60
[DEBUG] 2018-10-02 23:40:27.768 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@6b0d80ed
[DEBUG] 2018-10-02 23:40:27.768 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@6b0d80ed
[DEBUG] 2018-10-02 23:40:27.769 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@928763c
[DEBUG] 2018-10-02 23:40:27.772 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@2f666ebb
[DEBUG] 2018-10-02 23:40:27.772 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@2f666ebb
[DEBUG] 2018-10-02 23:40:27.772 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@2f666ebb
[DEBUG] 2018-10-02 23:40:27.775 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@75c56eb9
[DEBUG] 2018-10-02 23:40:27.775 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@75c56eb9
[DEBUG] 2018-10-02 23:40:27.777 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@75c56eb9
[DEBUG] 2018-10-02 23:40:27.784 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@5e17553a
[DEBUG] 2018-10-02 23:40:27.785 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@27912e3
[DEBUG] 2018-10-02 23:40:27.789 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@30b6ffe0
[DEBUG] 2018-10-02 23:40:27.790 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@30b6ffe0
[DEBUG] 2018-10-02 23:40:27.790 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@30b6ffe0
[DEBUG] 2018-10-02 23:40:27.797 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@24c22fe
[DEBUG] 2018-10-02 23:40:27.797 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@24c22fe
[DEBUG] 2018-10-02 23:40:27.797 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@24c22fe
[DEBUG] 2018-10-02 23:40:27.800 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@15a04efb
[DEBUG] 2018-10-02 23:40:27.801 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@3336e6b6
[DEBUG] 2018-10-02 23:40:27.809 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@7b993c65
[DEBUG] 2018-10-02 23:40:27.809 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@7b993c65
[DEBUG] 2018-10-02 23:40:27.810 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@4d6025c5
[DEBUG] 2018-10-02 23:40:27.817 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@463fd068
[DEBUG] 2018-10-02 23:40:27.817 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@463fd068
[DEBUG] 2018-10-02 23:40:27.897 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@4bd31064
[DEBUG] 2018-10-02 23:40:27.897 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@4bd31064
[DEBUG] 2018-10-02 23:40:27.900 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@7354b8c5
[DEBUG] 2018-10-02 23:40:27.901 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@11d8ae8b
[DEBUG] 2018-10-02 23:40:27.905 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@2fba3fc4
[DEBUG] 2018-10-02 23:40:27.911 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@6a57ae10
[DEBUG] 2018-10-02 23:40:27.911 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@6a57ae10
[DEBUG] 2018-10-02 23:40:27.912 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@28b46423
[DEBUG] 2018-10-02 23:40:27.912 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@7fc4780b
[DEBUG] 2018-10-02 23:40:27.912 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@3b79fd76
